"ID","GRIDCODE","gridcode_1","fire_id","F_AREA","score.building","score.habitat","score.invasive","score.isol","score.RelAbundance","Total","RelativeTotal","Rank"
"28096","113","113","WA4724812058320120908",2700,0,0.5,0.9936204387768,0,0.510568094873757,2.00418853365056,0.05,123
"28098","113","113","WA4724812058320120908",1800,0,0.5,0,0.0344028334126404,0.99885233358837,1.53325516700101,0.03,338
"28109","113","113","WA4724812058320120908",5400,0,0.5,0,0.0407908508224002,0.99885233358837,1.53964318441077,0.03,320.5
"28116","113","113","WA4724812058320120908",1800,0,0.5,0,0.0766631333307252,0.510568094873757,1.08723122820448,0.02,1334
"28118","113","113","WA4724812058320120908",16200,0,0.5,0.936387759565731,0,0.510568094873757,1.94695585443949,0.04,173
"28121","113","113","WA4724812058320120908",3600,0,0.5,0,0.0387711608173765,0.510568094873757,1.04933925569113,0.02,2292
"28130","113","113","WA4724812058320120908",6300,0,0.5,0,0.0107300538163352,0.99885233358837,1.50958238740471,0.03,393
"28140","113","113","WA4724812058320120908",8100,0,0,0.974305597740838,0,0.873565416985463,1.8478710147263,0.04,222
"28142","113","113","WA4724812058320120908",6300,0,0.5,0,0.0229009907159023,0.510568094873757,1.03346908558966,0.02,2363
"28148","113","113","WA4724812058320120908",1800,0,0,0.998097550272006,0.0130804496706749,0.510568094873757,1.52174609481644,0.03,343
"28153","113","113","WA4724812058320120908",9900,0,0.5,0,0,0.510568094873757,1.01056809487376,0.02,2557
"28162","113","113","WA4724812058320120908",1800,0,0.5,0,0,0.510568094873757,1.01056809487376,0.02,2557
"28164","113","113","WA4724812058320120908",2700,0,0.5,0,0,0.510568094873757,1.01056809487376,0.02,2557
"28166","113","113","WA4724812058320120908",3600,0,0.5,0,0.0407908508224002,0.510568094873757,1.05135894569616,0.02,1891.5
"28168","113","113","WA4724812058320120908",2700,0,0.5,0,0.00214596989241185,0.510568094873757,1.01271406476617,0.02,2521
"28169","113","113","WA4724812058320120908",1800,0,0.5,0,0,0.510568094873757,1.01056809487376,0.02,2557
"28171","113","113","WA4724812058320120908",1800,0,0.5,0,0.0407908508224002,0.510568094873757,1.05135894569616,0.02,1891.5
"28172","113","113","WA4724812058320120908",1800,0,0.5,0,0.122372552467201,0.510568094873757,1.13294064734096,0.03,975.5
"28173","113","113","WA4724812058320120908",1800,0,0.5,0,0,0.510568094873757,1.01056809487376,0.02,2557
"28174","113","113","WA4724812058320120908",1800,0,0.5,0,0.0378509689343229,0.510568094873757,1.04841906380808,0.02,2296
